Cycle,Time (s),Voltage (V),Capacity (mAh)
6,489891.7749306001,0.090270467,1.109867836384951
6,489901.7751231496,0.090251371,1.110226597210211
6,489911.7753156992,0.090247557,1.110585376602365
6,489921.7755082487,0.09026283,1.11094415294837
6,489931.7757007983,0.090285748,1.111302929037165
6,489941.7758933478,0.090278111,1.111661713496412
6,489951.7760858973,0.090251371,1.112020488566172
6,489961.7762784469,0.090312481,1.112379263178298
6,489971.7764709964,0.090285741,1.112738043155577
6,489981.776663546,0.090301022,1.113096826754858
6,489991.7768560955,0.090247557,1.113455592063095
6,490001.7770486451,0.090293385,1.11381435676873
6,490011.7772411946,0.090278104,1.114173115504457
6,490021.7774337435,0.090274289,1.114531861719197
6,490031.7776262928,0.090304844,1.11489063630773
6,490041.7778188421,0.090304844,1.115249423648346
6,490051.7780113914,0.090266645,1.115608177471093
6,490061.7782039407,0.090312473,1.11596694814576
6,490071.77839649,0.090274282,1.116325713627278
6,490081.7785890393,0.0902972,1.116684480700482
6,490091.7787815887,0.09034685,1.117043255900584
6,490101.778974138,0.090304837,1.117402036867588
6,490111.7791666873,0.090350673,1.117760819126293
6,490121.7793592367,0.090323932,1.118119611966161
6,490131.7795517861,0.090312481,1.118478357156369
6,490141.7797443356,0.090339214,1.118837110287308
6,490151.7799368852,0.090301022,1.119195858966673
6,490161.7801294347,0.090385042,1.119554609572406
6,490171.7803219841,0.090495802,1.119913378766827
6,490181.7805145335,0.090385042,1.120272120792672
6,490191.7807070829,0.090396501,1.120630872693978
6,490201.7808996324,0.090381227,1.120989643442768
6,490211.7810921817,0.090419412,1.121348404846125
6,490221.7812847311,0.090415597,1.121707188298604
6,490231.7814772805,0.090373583,1.122065947759947
6,490241.7816698299,0.09034685,1.1224246898356
6,490251.7818623793,0.09040796,1.122783423384304
6,490261.7820549288,0.090446152,1.123142198238076
6,490271.7822474781,0.090404138,1.123500976783213
6,490281.7824400276,0.090419412,1.123859751770174
6,490291.7826325765,0.090427056,1.124218550169526
6,490301.782825126,0.090488166,1.124577316620532
6,490311.7830176754,0.090491988,1.124936062658102
6,490321.7832102247,0.090350673,1.125294802556964
6,490331.7834027743,0.090499625,1.125653526813078
6,490341.7835953236,0.090560734,1.126012241901532
6,490351.7837878729,0.09040796,1.12637094726688
6,490361.7839804222,0.090488158,1.126729645610743
6,490371.7841729715,0.090522543,1.12708835920101
6,490381.7843655208,0.090488166,1.127447087952338
6,490391.7845580701,0.090495802,1.127805827090677
6,490401.7847506194,0.090457611,1.128164560908133
6,490411.784943169,0.090526357,1.128523280582645
6,490421.7851357183,0.09049198,1.128882021978003
6,490431.7853282676,0.090522535,1.12924076172824
6,490441.7855208172,0.090499625,1.129599500594405
6,490451.7857133667,0.09051872,1.129958251851837
6,490461.7859059162,0.090537816,1.130317003408335
6,490471.7860984658,0.090545461,1.130675753942646
6,490481.7862910153,0.090491988,1.131034499312704
6,490491.7864835649,0.090522543,1.131393240726535
6,490501.7866761144,0.090526357,1.131751983734186
6,490511.786868664,0.090507261,1.132110741891931
6,490521.7870612135,0.090545453,1.132469525059652
6,490531.7872537631,0.090556912,1.132828283567126
6,490541.7874463126,0.09057983,1.133187045297017
6,490551.7876388622,0.090625659,1.133545796278401
6,490561.7878314112,0.090556912,1.133904542842771
6,490571.7880239608,0.090583645,1.134263287117153
6,490581.7882165103,0.090572193,1.134622027668509
6,490591.7884090599,0.090564549,1.134980740441129
6,490601.7886016094,0.090656213,1.135339448860046
6,490611.788794159,0.090606563,1.135698165201119
6,490621.7889867085,0.090541638,1.136056904655822
6,490631.789179258,0.090694405,1.136415612006713
6,490641.7893718071,0.090522535,1.13677430935542
6,490651.7895643562,0.090682946,1.137132999505426
6,490661.7897569053,0.09066385,1.137491691065951
6,490671.7899494544,0.090621836,1.137850382018338
6,490681.7901420034,0.090618022,1.138209070987415
6,490691.7903345525,0.090576008,1.138567778592481
6,490701.7905271016,0.090644754,1.138926495688219
6,490711.7907196507,0.090660028,1.13928522832593
6,490721.7909121998,0.090686768,1.1396439403707
6,490731.7911047488,0.090671487,1.14000267466367
6,490741.7912972979,0.090682946,1.140361380803429
6,490751.791489847,0.090583645,1.140720105741411
6,490761.7916823961,0.090656213,1.141078859750297
6,490771.7918749452,0.090675309,1.141437628646411
6,490781.7920674942,0.090671487,1.141796395879822
6,490791.7922600433,0.090732597,1.142155151408352
6,490801.7924525924,0.090717316,1.142513898560747
6,490811.7926451415,0.09064094,1.142872651478612
6,490821.7928376906,0.090759329,1.143231403527635
6,490831.7930302396,0.090736419,1.143590146607887
6,490841.7932227887,0.090682946,1.143948914741598
6,490851.7934153378,0.090740234,1.14430768149553
6,490861.7936078869,0.090778425,1.14466642614857
6,490871.793800436,0.090694405,1.145025160713429
6,490881.793992985,0.090736419,1.145383919980091
6,490891.7941855341,0.090740234,1.145742654663165
6,490901.7943780832,0.090709679,1.146101383680143
6,490911.7945706323,0.09080898,1.146460138724781
6,490921.7947631814,0.090747878,1.146818906624152
6,490931.7949557304,0.090812802,1.147177668992986
6,490941.7951482795,0.090782247,1.14753643931202
6,490951.7953408286,0.090881549,1.147895169028114
6,490961.7955333777,0.090786062,1.148253911095838
6,490971.7957259268,0.090850994,1.148612656678032
6,490981.7959184758,0.090847179,1.148971413143221
6,490991.7961110249,0.090824261,1.149330164365703
6,491001.796303574,0.090843357,1.149688893429682
6,491011.7964961231,0.090843357,1.150047626974541
6,491021.7966886722,0.090782247,1.150406380178622
6,491031.7968812212,0.090839542,1.150765103323159
6,491041.7970737703,0.090774611,1.151123820141703
6,491051.7972663194,0.090877727,1.151482529624371
6,491061.7974588685,0.090858631,1.151841287832642
6,491071.7976514176,0.090908282,1.152200053908535
6,491081.7978439666,0.090912104,1.152558794822896
6,491091.7980365157,0.09087009,1.152917513389391
6,491101.7982290648,0.090862453,1.153276238254277
6,491111.7984216139,0.090873912,1.15363495418637
6,491121.798614163,0.090915926,1.153993666735507
6,491131.798806712,0.090900645,1.154352384465517
6,491141.7989992611,0.090873912,1.154711107136992
6,491151.7991918102,0.090938836,1.155069850410132
6,491161.7993843593,0.090912104,1.155428587996347
6,491171.7995769084,0.091026679,1.155787331412049
6,491181.7997694574,0.090912104,1.156146068121593
6,491191.7999620065,0.09098085,1.1565047780593
6,491201.8001545556,0.090881549,1.156863495938039
6,491211.8003471047,0.090965576,1.157222252643061
6,491221.8005396537,0.090923563,1.157581023387152
6,491231.8007322028,0.09104196,1.157939790004186
6,491241.8009247519,0.090999946,1.158298556702065
6,491251.801117301,0.090965576,1.158657302018896
6,491261.8013098501,0.091015227,1.159016044187106
6,491271.8015023991,0.090999946,1.159374792151189
6,491281.8016949482,0.09091974,1.159733533873308
6,491291.8018874973,0.09098085,1.160092270566399
6,491301.8020800464,0.091045775,1.160451008667784
6,491311.8022725955,0.090961754,1.160809772570488
6,491321.8024651445,0.09098085,1.161168528020367
6,491331.8026576936,0.090988494,1.161527284466275
6,491341.8028502427,0.091026679,1.161886039273512
